Found 229 batch files (229 logical batches, 0 multi-part):
  batch-152.json: 4 nodes, 0 edges
  batch-153.json: 3 nodes, 0 edges
  batch-154.json: 9 nodes, 0 edges
  batch-155.json: 4 nodes, 0 edges
  batch-156.json: 8 nodes, 0 edges
  batch-157.json: 9 nodes, 0 edges
  batch-158.json: 5 nodes, 0 edges
  batch-159.json: 3 nodes, 0 edges
  batch-160.json: 20 nodes, 0 edges
  batch-161.json: 14 nodes, 0 edges
  batch-162.json: 20 nodes, 0 edges
  batch-163.json: 5 nodes, 0 edges
  batch-164.json: 3 nodes, 0 edges
  batch-165.json: 8 nodes, 0 edges
  batch-166.json: 7 nodes, 0 edges
  batch-167.json: 4 nodes, 0 edges
  batch-168.json: 20 nodes, 0 edges
  batch-169.json: 12 nodes, 0 edges
  batch-170.json: 16 nodes, 0 edges
  batch-171.json: 4 nodes, 0 edges
  batch-172.json: 6 nodes, 0 edges
  batch-173.json: 13 nodes, 0 edges
  batch-174.json: 3 nodes, 0 edges
  batch-175.json: 16 nodes, 0 edges
  batch-176.json: 13 nodes, 0 edges
  batch-177.json: 3 nodes, 0 edges
  batch-178.json: 3 nodes, 0 edges
  batch-179.json: 5 nodes, 0 edges
  batch-180.json: 20 nodes, 0 edges
  batch-181.json: 8 nodes, 0 edges
  batch-182.json: 25 nodes, 0 edges
  batch-183.json: 25 nodes, 0 edges
  batch-184.json: 25 nodes, 1 edges
  batch-185.json: 25 nodes, 8 edges
  batch-186.json: 25 nodes, 3 edges
  batch-187.json: 25 nodes, 2 edges
  batch-188.json: 25 nodes, 10 edges
  batch-189.json: 25 nodes, 5 edges
  batch-190.json: 25 nodes, 7 edges
  batch-191.json: 25 nodes, 7 edges
  batch-192.json: 25 nodes, 8 edges
  batch-193.json: 25 nodes, 6 edges
  batch-194.json: 25 nodes, 7 edges
  batch-195.json: 25 nodes, 7 edges
  batch-196.json: 25 nodes, 5 edges
  batch-197.json: 25 nodes, 7 edges
  batch-198.json: 25 nodes, 8 edges
  batch-199.json: 25 nodes, 5 edges
  batch-200.json: 25 nodes, 2 edges
  batch-201.json: 25 nodes, 7 edges
  batch-202.json: 25 nodes, 4 edges
  batch-203.json: 25 nodes, 2 edges
  batch-204.json: 25 nodes, 0 edges
  batch-205.json: 25 nodes, 0 edges
  batch-206.json: 25 nodes, 6 edges
  batch-207.json: 25 nodes, 6 edges
  batch-208.json: 25 nodes, 0 edges
  batch-209.json: 25 nodes, 3 edges
  batch-210.json: 25 nodes, 1 edges
  batch-211.json: 25 nodes, 8 edges
  batch-212.json: 25 nodes, 5 edges
  batch-213.json: 25 nodes, 8 edges
  batch-214.json: 25 nodes, 1 edges
  batch-215.json: 25 nodes, 0 edges
  batch-216.json: 25 nodes, 5 edges
  batch-217.json: 25 nodes, 0 edges
  batch-218.json: 25 nodes, 1 edges
  batch-219.json: 25 nodes, 0 edges
  batch-220.json: 25 nodes, 1 edges
  batch-221.json: 25 nodes, 1 edges
  batch-222.json: 25 nodes, 1 edges
  batch-223.json: 25 nodes, 1 edges
  batch-224.json: 25 nodes, 2 edges
  batch-225.json: 25 nodes, 1 edges
  batch-226.json: 25 nodes, 3 edges
  batch-227.json: 25 nodes, 2 edges
  batch-228.json: 25 nodes, 2 edges
  batch-229.json: 25 nodes, 3 edges

Input: 3672 nodes, 3790 edges

Tested-by linker:
     4 × tested_by edges produced (path-convention supplement, production → test)
     4 × production nodes tagged "tested"

Could not fix (10 issues — needs agent review):
  - Edge file:apps/app/src/components/admin-dashboard/components/data-table.stories.tsx → file:apps/app/src/components/admin-dashboard/data.json (imports): dropped, missing target 'file:apps/app/src/components/admin-dashboard/data.json'
  - Edge file:apps/app/src/components/admin-dashboard/page.tsx → file:apps/app/src/components/admin-dashboard/data.json (imports): dropped, missing target 'file:apps/app/src/components/admin-dashboard/data.json'
  - Edge file:apps/app/src/features/sightings/components/optimized-threejs-globe.tsx → file:apps/app/src/features/sightings/components/globes/countries.json (imports): dropped, missing target 'file:apps/app/src/features/sightings/components/globes/countries.json'
  - Edge file:apps/app/src/components/tiptap-templates/simple/simple-editor.tsx → file:apps/app/src/components/tiptap-templates/simple/data/content.json (imports): dropped, missing target 'file:apps/app/src/components/tiptap-templates/simple/data/content.json'
  - Edge file:apps/app/src/components/tiptap/tiptap-templates/simple/simple-editor.tsx → file:apps/app/src/components/tiptap-templates/simple/data/content.json (imports): dropped, missing target 'file:apps/app/src/components/tiptap-templates/simple/data/content.json'
  - Edge file:apps/app/src/features/3d/globe-connections/Globe.tsx → file:apps/app/src/features/3d/globe-connections/countries.geojson.json (imports): dropped, missing target 'file:apps/app/src/features/3d/globe-connections/countries.geojson.json'
  - Edge file:apps/app/src/features/3d/globe-connections/GlobeConnectionsExample.tsx → file:apps/app/src/features/3d/globe-connections/cities.json (imports): dropped, missing target 'file:apps/app/src/features/3d/globe-connections/cities.json'
  - Edge file:packages/db/test-implementations.js → file:packages/db/package.json (imports): dropped, missing target 'file:packages/db/package.json'
  - Edge file:apps/app/src/features/sightings/components/globes/threejs-globe.tsx → file:apps/app/src/features/sightings/components/globes/countries.json (imports): dropped, missing target 'file:apps/app/src/features/sightings/components/globes/countries.json'
  - Edge file:packages/db/test-db-connection.js → file:packages/db/package.json (imports): dropped, missing target 'file:packages/db/package.json'

Output: 3672 nodes, 3784 edges

Imports edge recovery:
  Recovered 0 `imports` edges from importMap (3672 entries scanned)
  Skipped 10 importMap target paths with no `file:` node in graph

Written to /Users/liamellis/Desktop/apps/ultraterrestrial-resurrection/.understand-anything/intermediate/assembled-graph.json (2531 KB)
